file,start_time,end_time,amebit,comgal1,kinrai4,leabit,rewbla,sora,virrai
MINI06_20250410_050000.wav,0.0,3.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,3.0,6.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,6.0,9.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,9.0,12.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,12.0,15.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,15.0,18.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,21.0,24.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,24.0,27.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,27.0,30.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,30.0,33.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,33.0,36.0,0,0,1,1,0,0,0
MINI06_20250410_050000.wav,36.0,39.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,39.0,42.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,42.0,45.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,45.0,48.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,48.0,51.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,51.0,54.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,54.0,57.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,57.0,60.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,63.0,66.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,75.0,78.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,78.0,81.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,81.0,84.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,84.0,87.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,87.0,90.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,90.0,93.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,93.0,96.0,0,0,1,0,0,0,0
MINI06_20250410_050000.wav,96.0,99.0,0,0,1,0,0,0,0
